Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Modularity,Execution Time,Num of Clusters
5,10,4.0,1.0,0,1.0,1.0,1.0,0.0,0.0008151121437549591,1
10,39,7.8,0.8666666666666667,0.5555555555555556,0,0.8717948717948718,0.8444444444444444,-0.008218277449046681,0.003972344100475311,2
15,61,8.133333333333333,0.580952380952381,0.21428571428571427,0,0.7868852459016393,0.8095238095238095,0.027277613544746063,0.01259327307343483,5
20,74,7.4,0.3894736842105263,0.3684210526315789,0,0.43243243243243246,0.7578947368421053,0.03140978816654492,0.030149608850479126,12
25,84,6.72,0.28,0.16666666666666666,0,0.38095238095238093,0.8133333333333334,0.08878968253968254,0.03859607130289078,17
30,150,10.0,0.3448275862068966,0.20689655172413793,0,0.38666666666666666,0.7701149425287356,0.016244444444444398,0.05598090961575508,19
35,198,11.314285714285715,0.33277310924369746,0.17647058823529413,0,0.4797979797979798,0.8100840336134454,0.07640801958983777,0.0687057338654995,21
40,173,8.65,0.22179487179487178,0.15333333333333332,0,0.23699421965317918,0.8256410256410256,0.08363126065020547,0.08367528393864632,31
45,267,11.866666666666667,0.2696969696969697,0.22727272727272727,0,0.46441947565543074,0.8262626262626263,0.015058424160810288,0.1415008157491684,28
50,197,7.88,0.16081632653061226,0.10087719298245613,0,0.25888324873096447,0.8685714285714285,0.10413821536241591,0.17793992161750793,39
55,258,9.381818181818181,0.17373737373737375,0.12962962962962962,0,0.4844961240310077,0.8868686868686869,0.24985728021152562,0.12969669327139854,31
60,276,9.2,0.15593220338983052,0.0847457627118644,0,0.3695652173913043,0.8909604519774011,0.20588505566057558,0.2526170462369919,39
65,423,13.015384615384615,0.20336538461538461,0.140625,0,0.32860520094562645,0.8567307692307692,0.13203561189074994,0.2889399640262127,48
70,507,14.485714285714286,0.20993788819875778,0.17391304347826086,0,0.1301775147928994,0.8173913043478261,0.014841528268929259,0.4964127019047737,59
75,373,9.946666666666667,0.1344144144144144,0.06756756756756757,0,0.15013404825737264,0.885045045045045,0.0856507270231225,0.4201858676970005,63
80,450,11.25,0.14240506329113925,0.08860759493670886,0,0.32,0.8981012658227848,0.21599259259259246,0.43394501507282257,56
85,515,12.117647058823529,0.14425770308123248,0.09523809523809523,0,0.1436893203883495,0.8753501400560224,0.044262418701102826,0.6548656560480595,73
90,626,13.911111111111111,0.15630461922596753,0.033707865168539325,0,0.1964856230031949,0.8711610486891386,0.10392573160897829,0.8054000772535801,74
95,632,13.305263157894737,0.14154535274356103,0.10638297872340426,0,0.32436708860759494,0.8954087346024636,0.17688095858035555,0.8059192150831223,66
100,799,15.98,0.16141414141414143,0.131875,0,0.21151439299123906,0.8684848484848485,0.08596242800371544,1.4818809144198895,81
105,814,15.504761904761905,0.14908424908424908,0.0673076923076923,0,0.28378378378378377,0.8805860805860806,0.07370177302609718,1.204723533242941,81
110,732,13.309090909090909,0.12210175145954963,0.10091743119266056,0,0.09016393442622951,0.888907422852377,0.043362186090955185,1.4882077910006046,99
115,775,13.478260869565217,0.11823035850495804,0.07017543859649122,0,0.1329032258064516,0.8971777269260107,0.07347180020811665,1.6472431682050228,101
120,856,14.266666666666667,0.11988795518207283,0.05042016806722689,0,0.0911214953271028,0.8910364145658264,0.05849992357411129,1.6700550355017185,108
