Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Modularity,Execution Time
5,9,3.6,0.9,0,0.9,1.0,0.9,0.0,0.0008813925087451935
10,20,4.0,0.4444444444444444,0.08,0.9,0.9,0.9111111111111111,0.4,0.0005018264055252075
15,30,4.0,0.2857142857142857,0.04,0.9,0.9,0.9428571428571428,0.5666666666666667,0.0006865337491035461
20,40,4.0,0.21052631578947367,0.02666666666666667,0.9,0.9,0.9578947368421052,0.65,0.0008860193192958832
25,50,4.0,0.16666666666666666,0.02,0.9,0.9,0.9666666666666667,0.7,0.0009780451655387878
30,60,4.0,0.13793103448275862,0.016,0.9,0.9,0.9724137931034482,0.7333333333333333,0.0011466555297374725
35,70,4.0,0.11764705882352941,0.013333333333333334,0.9000000000000001,0.9,0.9764705882352941,0.757142857142857,0.0013144426047801971
40,80,4.0,0.10256410256410256,0.011428571428571429,0.9,0.9,0.9794871794871794,0.7750000000000001,0.0013731494545936584
45,90,4.0,0.09090909090909091,0.01,0.8999999999999999,0.9,0.9818181818181818,0.7888888888888891,0.0015202239155769348
50,100,4.0,0.08163265306122448,0.008888888888888889,0.9,0.9,0.9836734693877551,0.7999999999999999,0.00164877250790596
55,110,4.0,0.07407407407407407,0.008,0.9,0.9,0.9851851851851852,0.8090909090909091,0.0017073862254619598
60,120,4.0,0.06779661016949153,0.007272727272727273,0.9,0.9,0.9864406779661017,0.8166666666666665,0.0018430650234222412
65,130,4.0,0.0625,0.006666666666666667,0.9000000000000001,0.9,0.9875,0.8230769230769228,0.0018534213304519653
70,140,4.0,0.057971014492753624,0.006153846153846154,0.9000000000000001,0.9,0.9884057971014493,0.8285714285714287,0.002010408788919449
75,150,4.0,0.05405405405405406,0.005714285714285714,0.9000000000000001,0.9,0.9891891891891892,0.8333333333333336,0.002021145075559616
80,160,4.0,0.05063291139240506,0.005333333333333333,0.9,0.9,0.9898734177215189,0.8375000000000002,0.0021352730691432953
85,170,4.0,0.047619047619047616,0.005,0.9,0.9,0.9904761904761905,0.8411764705882351,0.002135530114173889
90,180,4.0,0.0449438202247191,0.004705882352941176,0.8999999999999999,0.9,0.9910112359550561,0.8444444444444448,0.002274744212627411
95,190,4.0,0.0425531914893617,0.0044444444444444444,0.8999999999999999,0.9,0.9914893617021276,0.8473684210526312,0.0022646859288215637
100,200,4.0,0.04040404040404041,0.004210526315789474,0.8999999999999998,0.9,0.9919191919191919,0.8499999999999998,0.002313286066055298
105,210,4.0,0.038461538461538464,0.004,0.8999999999999998,0.9,0.9923076923076923,0.8523809523809528,0.002385888248682022
110,220,4.0,0.03669724770642202,0.0038095238095238095,0.8999999999999997,0.9,0.9926605504587156,0.8545454545454549,0.002351634204387665
115,230,4.0,0.03508771929824561,0.0036363636363636364,0.8999999999999997,0.9,0.9929824561403509,0.8565217391304345,0.0024579502642154694
120,240,4.0,0.03361344537815126,0.0034782608695652175,0.9,0.9,0.9932773109243698,0.8583333333333336,0.0024631954729557037
125,250,4.0,0.03225806451612903,0.0033333333333333335,0.9,0.9,0.9935483870967742,0.8599999999999998,0.0025249794125556946
130,260,4.0,0.031007751937984496,0.0032,0.8999999999999999,0.9,0.993798449612403,0.8615384615384618,0.0025725923478603363
135,270,4.0,0.029850746268656716,0.003076923076923077,0.8999999999999999,0.9,0.9940298507462687,0.8629629629629633,0.002547662705183029
